OBJECTID_1,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,AC_NAME,PC_NO,PC_NAME,AC_NO,Shape_Length,Shape_Area
"1","1","21",ODISHA,"370",BARGARH,ATTABIRA(SC),"1",BARGARH,"4",1.82347481336605,0.0883251206935785
"2","2","21",ODISHA,"370",BARGARH,BARGARH,"1",BARGARH,"3",1.24409030984237,0.0406490054472497
"3","3","21",ODISHA,"370",BARGARH,BHATLI,"1",BARGARH,"5",2.82199536693657,0.140802394760258
"4","4","21",ODISHA,"370",BARGARH,BIJEPUR,"1",BARGARH,"2",2.56232060377784,0.0791015763574972
"5","5","21",ODISHA,"370",BARGARH,PADAMPUR,"1",BARGARH,"1",2.80108853620379,0.158267749210478
"6","6","21",ODISHA,"371",JHARSUGUDA,BRAJARAJNAGAR,"1",BARGARH,"6",2.15292016901145,0.100816029683455
"7","7","21",ODISHA,"371",JHARSUGUDA,JHARSUGUDA,"1",BARGARH,"7",1.7344421876954,0.0870031689784007
"8","8","21",ODISHA,"372",SAMBALPUR,KUCHINDA (ST),"3",SAMBALPUR,"15",3.63832213965489,0.184546027633726
"9","9","21",ODISHA,"372",SAMBALPUR,RAIRAKHOL,"3",SAMBALPUR,"18",3.60187484951705,0.280031344781164
"10","10","21",ODISHA,"372",SAMBALPUR,RENGALI (SC),"3",SAMBALPUR,"16",2.99436396072974,0.0928285950232216
"11","11","21",ODISHA,"372",SAMBALPUR,SAMBALPUR,"3",SAMBALPUR,"17",0.666565857032802,0.0100602840573063
"12","12","21",ODISHA,"373",DEBAGARH,DEOGARH,"3",SAMBALPUR,"19",3.94277030899797,0.263150884217607
"13","13","21",ODISHA,"374",SUNDARGARH,BIRAMITRAPUR (ST),"2",SUNDARGARH (ST),"10",2.23341582103278,0.109961846498387
"14","14","21",ODISHA,"374",SUNDARGARH,BONAI (ST),"2",SUNDARGARH (ST),"14",3.25911242817156,0.288750713691798
"15","15","21",ODISHA,"374",SUNDARGARH,RAGHUNATHPALI (SC),"2",SUNDARGARH (ST),"11",0.87057759107905,0.0191002204415385
"16","16","21",ODISHA,"374",SUNDARGARH,RAJGANGPUR (ST),"2",SUNDARGARH (ST),"13",1.93173717628515,0.111441745849786
"17","17","21",ODISHA,"374",SUNDARGARH,ROURKELA,"2",SUNDARGARH (ST),"12",0.31681052667038,0.00435535426368635
"18","18","21",ODISHA,"374",SUNDARGARH,SUNDERGARH (ST),"2",SUNDARGARH (ST),"9",3.06658363448148,0.158451384547578
"19","19","21",ODISHA,"374",SUNDARGARH,TALSARA (ST),"2",SUNDARGARH (ST),"8",3.07784716624106,0.158864145349866
"20","20","21",ODISHA,"375",KENDUJHAR,ANANDAPUR (SC),"4",KEONJHAR (ST),"22",2.31734253157913,0.0708677104480351
"21","21","21",ODISHA,"375",KENDUJHAR,CHAMPUA,"4",KEONJHAR (ST),"25",2.16507596474722,0.0856575077823934
"22","22","21",ODISHA,"375",KENDUJHAR,GHASIPUR,"4",KEONJHAR (ST),"21",3.35940591581182,0.10957972531221
"23","23","21",ODISHA,"375",KENDUJHAR,KEONJHAR (ST),"4",KEONJHAR (ST),"24",2.81456073731131,0.100644032822692
"24","25","21",ODISHA,"375",KENDUJHAR,PATNA (ST),"4",KEONJHAR (ST),"23",2.46630436148026,0.103090143707724
"25","26","21",ODISHA,"375",KENDUJHAR,TELKOI(ST),"4",KEONJHAR (ST),"20",4.23747697327604,0.254047518795734
