AC_NAME,AC_NO,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,no_install_due,amount_paid,amount_due
ANANDAPUR (SC),22,32327.0,5077.0,9618.0,2540.0,15092.0,153335.0,188111.0,306670000.0,376222000.0
ANUGUL,61,25786.0,4001.0,6962.0,1633.0,13190.0,125231.0,148566.0,250462000.0,297132000.0
ASKA,128,16459.0,2247.0,5134.0,1129.0,7949.0,74307.0,90749.0,148614000.0,181498000.0
ATHAGARH,89,22897.0,4641.0,7863.0,1276.0,9117.0,110199.0,138794.0,220398000.0,277588000.0
ATHAMALLIK,63,40399.0,6411.0,11340.0,3399.0,19249.0,194853.0,242773.0,389706000.0,485546000.0
ATTABIRA(SC),4,23121.0,2740.0,4371.0,4222.0,11788.0,106320.0,136954.0,212640000.0,273908000.0
AUL,98,30487.0,4452.0,9706.0,2240.0,14089.0,140653.0,177220.0,281306000.0,354440000.0
BADASAHI (SC),32,28800.0,4368.0,6973.0,2212.0,15247.0,145418.0,167376.0,290836000.0,334752000.0
BALASORE,38,16442.0,2351.0,5327.0,1247.0,7517.0,78223.0,98869.0,156446000.0,197738000.0
BALIGUDA (ST),82,24457.0,2947.0,3373.0,872.0,17265.0,144505.0,145780.0,289010000.0,291560000.0
BALIKUDA-ERASAMA,103,43184.0,6971.0,14686.0,3283.0,18244.0,204154.0,258771.0,408308000.0,517542000.0
BANGIRIPOSI (ST),29,35950.0,7122.0,9410.0,1511.0,17907.0,192392.0,214988.0,384784000.0,429976000.0
BANKI,88,19294.0,2721.0,5820.0,3630.0,7123.0,77584.0,116544.0,155168000.0,233088000.0
BARABATI-CUTTACK,90,196.0,17.0,56.0,7.0,116.0,954.0,1102.0,1908000.0,2204000.0
BARACHANA,50,19504.0,2815.0,6386.0,1918.0,8385.0,86202.0,113725.0,172404000.0,227450000.0
BARAMBA,87,34152.0,4708.0,13206.0,2937.0,13301.0,140721.0,199846.0,281442000.0,399692000.0
BARGARH,3,14230.0,1698.0,3959.0,1812.0,6761.0,65200.0,83665.0,130400000.0,167330000.0
BARI,49,26432.0,4223.0,8978.0,1966.0,11265.0,113551.0,148072.0,227102000.0,296144000.0
BARIPADA (ST),33,22751.0,3859.0,5177.0,1313.0,12402.0,120432.0,133025.0,240864000.0,266050000.0
BASTA,37,34209.0,6877.0,10534.0,3685.0,13113.0,152289.0,205717.0,304578000.0,411434000.0
BASUDEVPUR,45,36847.0,4360.0,8875.0,4645.0,18967.0,163544.0,201902.0,327088000.0,403804000.0
