,OBJECTID_1,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,AC_NAME,PC_NO,PC_NAME,AC_NO,Shape_Length,Shape_Area,OBJECTID_2,S_CODE_2,S_NAME_2,D_CODE_2,D_NAME_2,PS_CODE,PS_NAME,B_CODE,B_NAME,TRU,AC_NAME_2,PC_NAME_2,GP_CODE,GP_NAME,V_CODE,V_NAME,CLASS,NO_HH,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,Shape_Length_2,Shape_Area_2,PM_Kisan_merged_vill_name,PM_Kisan_merged_vill_code,PM_Kisan_merged_reg_count,PM_Kisan_merged_full_pay_count,PM_Kisan_merged_part_pay_count,PM_Kisan_merged_no_pay_count,PM_Kisan_merged_extra_pay_count,PM_Kisan_merged_no_install_paid,PM_Kisan_merged_no_install_due,PM_Kisan_merged_amount_paid,PM_Kisan_merged_amount_due
1651,8,8,21,ODISHA,372,SAMBALPUR,KUCHINDA (ST),3,SAMBALPUR,15,3.63832213965489,0.184546027633726,51249.0,21.0,ODISHA,373.0,DEBAGARH,2803.0,REAMAL P.S,3348.0,TILEIBANI,RURAL,DEOGARH,SAMBALPUR,117232.0,SODO,383236.0,KURAIBAHAL,VILLAGE,19.0,79.0,40.0,39.0,39.0,22.0,17.0,40.0,18.0,22.0,0.0407982269630353,6.65688483382664e-05,Kuraibahal - (383236),383236.0,5.0,0.0,1.0,0.0,4.0,28.0,28.0,56000.0,56000.0
2530,9,9,21,ODISHA,372,SAMBALPUR,RAIRAKHOL,3,SAMBALPUR,18,3.60187484951705,0.280031344781164,38892.0,21.0,ODISHA,372.0,SAMBALPUR,2793.0,KISINDA P.S,3564.0,NAKTIDEUL,RURAL,RAIRAKHOL,SAMBALPUR,121391.0,PANIMURA,382097.0,BELBAHALI,VILLAGE,5.0,25.0,10.0,15.0,18.0,8.0,10.0,7.0,2.0,5.0,0.0442195953590245,0.0001087003409584,,,,,,,,,,,
2871,11,11,21,ODISHA,372,SAMBALPUR,SAMBALPUR,3,SAMBALPUR,17,0.666565857032802,0.0100602840573063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3731,12,12,21,ODISHA,373,DEBAGARH,DEOGARH,3,SAMBALPUR,19,3.94277030899797,0.263150884217607,51249.0,21.0,ODISHA,373.0,DEBAGARH,2803.0,REAMAL P.S,3348.0,TILEIBANI,RURAL,DEOGARH,SAMBALPUR,117232.0,SODO,383236.0,KURAIBAHAL,VILLAGE,19.0,79.0,40.0,39.0,39.0,22.0,17.0,40.0,18.0,22.0,0.0407982269630353,6.65688483382664e-05,Kuraibahal - (383236),383236.0,5.0,0.0,1.0,0.0,4.0,28.0,28.0,56000.0,56000.0
4852,17,17,21,ODISHA,374,SUNDARGARH,ROURKELA,2,SUNDARGARH (ST),12,0.31681052667038,0.0043553542636863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5985,21,21,21,ODISHA,375,KENDUJHAR,CHAMPUA,4,KEONJHAR (ST),25,2.16507596474722,0.0856575077823934,1582.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385410.0,CHANDRASEKHARPUR,VILLAGE,95.0,480.0,228.0,252.0,236.0,145.0,91.0,244.0,83.0,161.0,0.0524450403366374,0.0001310638129623,,,,,,,,,,,
5988,21,21,21,ODISHA,375,KENDUJHAR,CHAMPUA,4,KEONJHAR (ST),25,2.16507596474722,0.0856575077823934,114.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385409.0,RAMALA,VILLAGE,438.0,2572.0,1374.0,1198.0,1451.0,901.0,550.0,1121.0,473.0,648.0,0.110530131513207,0.0005186584509129,,,,,,,,,,,
5989,21,21,21,ODISHA,375,KENDUJHAR,CHAMPUA,4,KEONJHAR (ST),25,2.16507596474722,0.0856575077823934,1693.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385408.0,BIRADHANURJAYNARAYANPUR,VILLAGE,177.0,870.0,460.0,410.0,712.0,407.0,305.0,158.0,53.0,105.0,0.0587800151998992,9.78310515876042e-05,,,,,,,,,,,
5991,21,21,21,ODISHA,375,KENDUJHAR,CHAMPUA,4,KEONJHAR (ST),25,2.16507596474722,0.0856575077823934,1085.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385403.0,SANKARPUR,VILLAGE,25.0,110.0,54.0,56.0,67.0,38.0,29.0,43.0,16.0,27.0,0.0515076980430641,9.47221424110039e-05,,,,,,,,,,,
5992,21,21,21,ODISHA,375,KENDUJHAR,CHAMPUA,4,KEONJHAR (ST),25,2.16507596474722,0.0856575077823934,589.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385404.0,ANANDAPUR ALIAS PANCHAPOKHARIA,VILLAGE,249.0,1099.0,540.0,559.0,625.0,362.0,263.0,474.0,178.0,296.0,0.0817115783340711,0.0003119854919469,,,,,,,,,,,
5993,21,21,21,ODISHA,375,KENDUJHAR,CHAMPUA,4,KEONJHAR (ST),25,2.16507596474722,0.0856575077823934,1084.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385405.0,SIRAPUR,VILLAGE,75.0,383.0,176.0,207.0,193.0,100.0,93.0,190.0,76.0,114.0,0.0411963697617821,8.07732181902855e-05,,,,,,,,,,,
5995,21,21,21,ODISHA,375,KENDUJHAR,CHAMPUA,4,KEONJHAR (ST),25,2.16507596474722,0.0856575077823934,473.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385407.0,GODHULI,VILLAGE,397.0,1668.0,853.0,815.0,1030.0,621.0,409.0,638.0,232.0,406.0,0.0943444280382654,0.0004282781087034,,,,,,,,,,,
11634,35,36,21,ODISHA,377,BALESWAR,BALASORE,6,BALASORE,38,1.32920101913294,0.0293156736830922,24106.0,21.0,ODISHA,377.0,BALESWAR,2895.0,BASTA P.S,3299.0,BALESWAR SADAR,RURAL,BALASORE,BALASORE,116071.0,HALADIPADA,392548.0,SOMNATHAPUR,VILLAGE,191.0,815.0,431.0,384.0,653.0,362.0,291.0,162.0,69.0,93.0,0.0241386695576338,2.62316431466288e-05,Somnathapur - (392548),392548.0,61.0,2.0,12.0,2.0,45.0,342.0,358.0,684000.0,716000.0
13446,40,41,21,ODISHA,377,BALESWAR,REMUNA(SC),6,BALASORE,39,1.85824348616144,0.0397985799863715,22177.0,21.0,ODISHA,377.0,BALESWAR,2901.0,BAMPADA P.S,3670.0,REMUNA,RURAL,REMUNA(SC),BALASORE,116268.0,BIRUHAN,392548.0,SOMNATHAPUR,VILLAGE,191.0,815.0,431.0,384.0,653.0,362.0,291.0,162.0,69.0,93.0,0.0844106835551295,0.0003361226384968,Somnathapur - (392548),392548.0,61.0,2.0,12.0,2.0,45.0,342.0,358.0,684000.0,716000.0
13600,40,41,21,ODISHA,377,BALESWAR,REMUNA(SC),6,BALASORE,39,1.85824348616144,0.0397985799863715,22715.0,21.0,ODISHA,377.0,BALESWAR,2897.0,BALESHWAR SADAR P.S,3299.0,BALESWAR SADAR,RURAL,REMUNA(SC),BALASORE,116080.0,PADAMPUR,392853.0,PURASTAMPUR,VILLAGE,90.0,369.0,195.0,174.0,297.0,164.0,133.0,72.0,31.0,41.0,0.0299438759495277,2.55714918947712e-05,Purastampur - (392853),392853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13601,40,41,21,ODISHA,377,BALESWAR,REMUNA(SC),6,BALASORE,39,1.85824348616144,0.0397985799863715,21475.0,21.0,ODISHA,377.0,BALESWAR,2899.0,CHANDIPUR P.S,3299.0,BALESWAR SADAR,RURAL,REMUNA(SC),BALASORE,116080.0,PADAMPUR,392853.0,PURASTAMPUR,VILLAGE,90.0,369.0,195.0,174.0,297.0,164.0,133.0,72.0,31.0,41.0,0.0139314808863549,1.35592435534697e-05,Purastampur - (392853),392853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17137,52,53,21,ODISHA,379,KENDRAPARA,RAJNAGAR,15,KENDRAPARA,99,1.80355832897091,0.0639471974842987,14662.0,21.0,ODISHA,379.0,KENDRAPARA,2923.0,RAJNAGAR P.S,3442.0,RAJNAGAR,RURAL,RAJNAGAR,KENDRAPARA,119236.0,DERA,395984.0,KAITHA,VILLAGE,196.0,971.0,499.0,472.0,744.0,397.0,347.0,227.0,102.0,125.0,0.0659174871294853,0.0001835216639647,Kaitha - (395984),395984.0,97.0,3.0,10.0,20.0,64.0,432.0,505.0,864000.0,1010000.0
17154,52,53,21,ODISHA,379,KENDRAPARA,RAJNAGAR,15,KENDRAPARA,99,1.80355832897091,0.0639471974842987,15624.0,21.0,ODISHA,379.0,KENDRAPARA,2923.0,RAJNAGAR P.S,3442.0,RAJNAGAR,RURAL,RAJNAGAR,KENDRAPARA,119236.0,DERA,395984.0,KAITHA,VILLAGE,196.0,971.0,499.0,472.0,744.0,397.0,347.0,227.0,102.0,125.0,0.0322797773856875,3.77591103997697e-05,Kaitha - (395984),395984.0,97.0,3.0,10.0,20.0,64.0,432.0,505.0,864000.0,1010000.0
17520,53,54,21,ODISHA,380,JAGATSINGHPUR,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),103,1.75196865933123,0.0593792019372189,25584.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2938.0,ERSAMA P.S,3388.0,ERASAMA,RURAL,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118107.0,KUNJAKOTHI,397389.0,NUARATANPUR,VILLAGE,329.0,1337.0,694.0,643.0,1096.0,599.0,497.0,241.0,95.0,146.0,0.0374669170878909,8.06453347112382e-05,,,,,,,,,,,
17575,53,54,21,ODISHA,380,JAGATSINGHPUR,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),103,1.75196865933123,0.0593792019372189,25005.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2942.0,NAUGAON P.S,3386.0,BALIKUDA,UI,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118059.0,MACHHAGAON,398197.0,BILATELA SARA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0360223291875542,7.61481099150317e-05,,,,,,,,,,,
17620,53,54,21,ODISHA,380,JAGATSINGHPUR,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),103,1.75196865933123,0.0593792019372189,24351.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2938.0,ERSAMA P.S,3388.0,ERASAMA,UI,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118172.0,ZILLANASI,397399.0,KULADANDA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308867546888586,5.76699697437153e-05,,,,,,,,,,,
17804,53,54,21,ODISHA,380,JAGATSINGHPUR,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),103,1.75196865933123,0.0593792019372189,24373.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2943.0,BALIKUDA P.S,3386.0,BALIKUDA,UI,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118060.0,MARICHPUR,398409.0,NADIAKHIA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984481312246177,0.0002968561573227,,,,,,,,,,,
