PC_NAME,PC_NO,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,no_install_due,amount_paid,amount_due
ASKA,19,146950.0,23885.0,46268.0,11872.0,64925.0,696614.0,873748.0,1393228000.0,1747496000.0
BALASORE,6,201989.0,32236.0,55390.0,16802.0,97561.0,976389.0,1189383.0,1952778000.0,2378766000.0
BARGARH,1,193942.0,27402.0,43250.0,24090.0,99200.0,937516.0,1155600.0,1875032000.0,2311200000.0
BERHAMPUR,20,126553.0,19238.0,39793.0,9004.0,58518.0,612920.0,755841.0,1225840000.0,1511682000.0
BHADRAK (SC),7,235500.0,24293.0,59539.0,30170.0,121498.0,1044535.0,1305787.0,2089070000.0,2611574000.0
BHUBANESWAR,18,54630.0,6402.0,17906.0,5591.0,24731.0,241323.0,314849.0,482646000.0,629698000.0
BOLANGIR,10,282720.0,45160.0,71502.0,23548.0,142510.0,1404079.0,1657905.0,2808158000.0,3315810000.0
CUTTACK,14,121504.0,19109.0,43020.0,11698.0,47677.0,533183.0,720651.0,1066366000.0,1441302000.0
DHENKANAL,9,190249.0,24635.0,54991.0,16367.0,94256.0,887473.0,1105830.0,1774946000.0,2211660000.0
JAGATSINGHPUR (SC),16,216220.0,32792.0,72553.0,18747.0,92128.0,982536.0,1283540.0,1965072000.0,2567080000.0
JAJPUR (SC),8,157231.0,21427.0,54724.0,12472.0,68608.0,685183.0,898271.0,1370366000.0,1796542000.0
KALAHANDI,11,245604.0,35773.0,72669.0,22276.0,114886.0,1160238.0,1437515.0,2320476000.0,2875030000.0
KANDHAMAL,13,195387.0,28716.0,45544.0,11104.0,110023.0,1036271.0,1172300.0,2072542000.0,2344600000.0
KENDRAPARA,15,219655.0,33610.0,67972.0,20357.0,97716.0,1013666.0,1288420.0,2027332000.0,2576840000.0
KEONJHAR (ST),4,249745.0,45449.0,65643.0,16620.0,122033.0,1264382.0,1473998.0,2528764000.0,2947996000.0
KORAPUT (ST),21,158003.0,28416.0,52633.0,8224.0,68730.0,768654.0,939335.0,1537308000.0,1878670000.0
MAYURBHANJ (ST),5,235992.0,40876.0,57305.0,12111.0,125700.0,1245159.0,1384666.0,2490318000.0,2769332000.0
NABARANGPUR (ST),12,216446.0,26910.0,56651.0,21985.0,110900.0,1012317.0,1202800.0,2024634000.0,2405600000.0
PURI,17,187871.0,28891.0,64052.0,18253.0,76675.0,843703.0,1127864.0,1687406000.0,2255728000.0
SAMBALPUR,3,205091.0,36808.0,56937.0,12929.0,98417.0,1034557.0,1238235.0,2069114000.0,2476470000.0
SUNDARGARH (ST),2,169160.0,27770.0,28601.0,8996.0,103793.0,949086.0,999585.0,1898172000.0,1999170000.0
