AC_NO,ac_name_geofile,AC_NAME,PC_NO,PC_NAME,pc_name_geofile
7,JHARSUGUDA,JHARSUGUDA,1,BARGARH,Bargarh
6,BRAJARAJNAGAR,BRAJARAJNAGAR,1,BARGARH,Bargarh
5,BHATLI,BHATLI,1,BARGARH,Bargarh
4,ATTABIRA (SC),ATTABIRA (SC),1,BARGARH,Bargarh
3,BARGARH,BARGARH,1,BARGARH,Bargarh
2,BIJEPUR,BIJEPUR,1,BARGARH,Bargarh
1,PADAMPUR,PADAMPUR,1,BARGARH,Bargarh
8,TALSARA (ST),TALSARA (ST),2,SUNDARGARH (ST),Sundargarh (ST)
10,BIRAMITRAPUR (ST),BIRAMITRAPUR (ST),2,SUNDARGARH (ST),Sundargarh (ST)
13,RAJGANGPUR (ST),RAJGANGPUR (ST),2,SUNDARGARH (ST),Sundargarh (ST)
12,ROURKELA,ROURKELA,2,SUNDARGARH (ST),Sundargarh (ST)
11,RAGHUNATHPALI (SC),RAGHUNATHPALI (SC),2,SUNDARGARH (ST),Sundargarh (ST)
9,SUNDARGARH (ST),SUNDARGARH (ST),2,SUNDARGARH (ST),Sundargarh (ST)
14,BONAI (ST),BONAI (ST),2,SUNDARGARH (ST),Sundargarh (ST)
15,KUCHINDA (ST),KUCHINDA (ST),3,SAMBALPUR,Sambalpur
16,RENGALI (SC),RENGALI (SC),3,SAMBALPUR,Sambalpur
19,DEOGARH,DEOGARH,3,SAMBALPUR,Sambalpur
17,SAMBALPUR,SAMBALPUR,3,SAMBALPUR,Sambalpur
18,RAIRAKHOL,RAIRAKHOL,3,SAMBALPUR,Sambalpur
62,CHHENDIPADA (SC),CHHENDIPADA (SC),3,SAMBALPUR,Sambalpur
63,ATHAMALLIK,ATHAMALLIK,3,SAMBALPUR,Sambalpur
25,CHAMPUA,CHAMPUA,4,KEONJHAR (ST),Keonjhar (ST)
24,KEONJHAR (ST),KEONJHAR (ST),4,KEONJHAR (ST),Keonjhar (ST)
23,PATNA (ST),PATNA (ST),4,KEONJHAR (ST),Keonjhar (ST)
30,KARANJIA (ST),KARANJIA (ST),4,KEONJHAR (ST),Keonjhar (ST)
20,TELKOI (ST),TELKOI (ST),4,KEONJHAR (ST),Keonjhar (ST)
21,GHASIPURA,GHASIPURA,4,KEONJHAR (ST),Keonjhar (ST)
22,ANANDAPUR (SC),ANANDAPUR (SC),4,KEONJHAR (ST),Keonjhar (ST)
28,RAIRANGPUR (ST),RAIRANGPUR (ST),5,MAYURBHANJ (ST),Mayurbhanj (ST)
27,SARASKANA (ST),SARASKANA (ST),5,MAYURBHANJ (ST),Mayurbhanj (ST)
29,BANGRIPOSI (ST),BANGRIPOSI (ST),5,MAYURBHANJ (ST),Mayurbhanj (ST)
