AC_NAME,AC_NO,reg_count,fiscal_year,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,no_install_due,amount_paid,amount_due
ANANDAPUR (SC),22,32104.0,2019-20,5037.0,9537.0,2513.0,15017.0,152351.0,186730.0,304702000.0,373460000.0
ANGUL,61,25716.0,2019-20,4000.0,6953.0,1619.0,13144.0,124911.0,148170.0,249822000.0,296340000.0
ASKA,128,16357.0,2019-20,2239.0,5081.0,1128.0,7909.0,73896.0,90190.0,147792000.0,180380000.0
ATHAGARH,89,22713.0,2019-20,4565.0,7801.0,1295.0,9052.0,109012.0,137585.0,218024000.0,275170000.0
ATHAMALLIK,63,40399.0,2019-20,6411.0,11340.0,3399.0,19249.0,194853.0,242773.0,389706000.0,485546000.0
ATTABIRA (SC),4,23020.0,2019-20,2730.0,4359.0,4209.0,11722.0,105766.0,136342.0,211532000.0,272684000.0
AUL,98,30422.0,2019-20,4474.0,9677.0,2237.0,14034.0,140423.0,176893.0,280846000.0,353786000.0
BADASAHI (SC),32,28748.0,2019-20,4364.0,6966.0,2205.0,15213.0,145167.0,167089.0,290334000.0,334178000.0
BALASORE,38,16443.0,2019-20,2351.0,5327.0,1247.0,7518.0,78230.0,98875.0,156460000.0,197750000.0
BALIGUDA (ST),82,24448.0,2019-20,2944.0,3378.0,874.0,17252.0,144414.0,145734.0,288828000.0,291468000.0
BALIKUDA-ERASAMA,103,43208.0,2019-20,6974.0,14696.0,3279.0,18259.0,204300.0,258907.0,408600000.0,517814000.0
BANGRIPOSI (ST),29,35890.0,2019-20,7111.0,9392.0,1505.0,17882.0,192071.0,214604.0,384142000.0,429208000.0
BANKI,88,19425.0,2019-20,2793.0,5853.0,3603.0,7176.0,78626.0,117440.0,157252000.0,234880000.0
BARABATI-CUTTACK,90,196.0,2019-20,17.0,56.0,7.0,116.0,954.0,1102.0,1908000.0,2204000.0
BARACHANA,50,19660.0,2019-20,2846.0,6400.0,1934.0,8480.0,87045.0,114588.0,174090000.0,229176000.0
BARAMBA,87,34152.0,2019-20,4708.0,13206.0,2937.0,13301.0,140721.0,199846.0,281442000.0,399692000.0
BARGARH,3,14230.0,2019-20,1698.0,3959.0,1812.0,6761.0,65200.0,83665.0,130400000.0,167330000.0
BARI,49,26467.0,2019-20,4220.0,8987.0,1971.0,11289.0,113696.0,148268.0,227392000.0,296536000.0
BARIPADA (ST),33,22737.0,2019-20,3855.0,5175.0,1312.0,12395.0,120355.0,132946.0,240710000.0,265892000.0
BASTA,37,34315.0,2019-20,6906.0,10577.0,3686.0,13146.0,152818.0,206411.0,305636000.0,412822000.0
BASUDEVPUR,45,36906.0,2019-20,4370.0,8887.0,4651.0,18998.0,163836.0,202234.0,327672000.0,404468000.0
BEGUNIA,116,24490.0,2019-20,3114.0,8774.0,2452.0,10150.0,105651.0,141868.0,211302000.0,283736000.0
BERHAMPUR,133,228.0,2019-20,62.0,40.0,10.0,116.0,1326.0,1421.0,2652000.0,2842000.0
BHADRAK,44,20731.0,2019-20,1752.0,6101.0,3513.0,9365.0,82822.0,112356.0,165644000.0,224712000.0
BHANDARIPOKHARI,43,36592.0,2019-20,3213.0,10057.0,5714.0,17608.0,149756.0,198672.0,299512000.0,397344000.0
BHANJANAGAR,123,22699.0,2019-20,3693.0,7881.0,1369.0,9756.0,107415.0,137501.0,214830000.0,275002000.0
BHATLI,5,38390.0,2019-20,4364.0,8834.0,4468.0,20724.0,183642.0,227006.0,367284000.0,454012000.0
BHAWANIPATNA (SC),80,23299.0,2019-20,4313.0,7744.0,1705.0,9537.0,106270.0,137086.0,212540000.0,274172000.0
BHOGRAI,36,38674.0,2019-20,5809.0,9319.0,3018.0,20528.0,193598.0,224753.0,387196000.0,449506000.0
BHUBANESWAR(MADHYA),112,0.0,2019-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHUBANESWAR(UTTAR),113,1784.0,2019-20,277.0,584.0,48.0,875.0,9105.0,10808.0,18210000.0,21616000.0
BIJEPUR,2,41231.0,2019-20,5395.0,10416.0,6029.0,19391.0,185874.0,245668.0,371748000.0,491336000.0
BINJHARPUR (SC),48,23128.0,2019-20,2773.0,7682.0,1161.0,11512.0,107371.0,131937.0,214742000.0,263874000.0
BIRAMITRAPUR (ST),10,31262.0,2019-20,5475.0,5086.0,957.0,19744.0,180681.0,185173.0,361362000.0,370346000.0
BIRMAHARAJPUR (SC),64,28111.0,2019-20,3930.0,7011.0,1791.0,15379.0,145140.0,168697.0,290280000.0,337394000.0
BISSAM CUTTACK (ST),139,27919.0,2019-20,4596.0,10401.0,1101.0,11821.0,136918.0,169066.0,273836000.0,338132000.0
BOLANGIR,68,26793.0,2019-20,4842.0,6688.0,2651.0,12612.0,130712.0,156896.0,261424000.0,313792000.0
BONAI (ST),14,33760.0,2019-20,5802.0,5809.0,1830.0,20319.0,189064.0,200370.0,378128000.0,400740000.0
BOUDH,86,27152.0,2019-20,4710.0,6615.0,2007.0,13820.0,138031.0,162708.0,276062000.0,325416000.0
BRAHMAGIRI,108,32127.0,2019-20,5437.0,11751.0,2852.0,12087.0,145055.0,195849.0,290110000.0,391698000.0
BRAJARAJNAGAR,6,13889.0,2019-20,2980.0,3081.0,664.0,7164.0,76199.0,85613.0,152398000.0,171226000.0
CHAMPUA,25,19160.0,2019-20,3271.0,4425.0,1098.0,10366.0,100972.0,112804.0,201944000.0,225608000.0
CHANDABALI,47,34777.0,2019-20,2559.0,7705.0,5949.0,18564.0,153857.0,196593.0,307714000.0,393186000.0
CHHATRAPUR (SC),127,16037.0,2019-20,3498.0,6305.0,1253.0,4981.0,71142.0,99850.0,142284000.0,199700000.0
