,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,PS_CODE,PS_NAME,B_CODE,B_NAME,TRU,AC_NAME,PC_NAME,GP_CODE,GP_NAME,V_CODE,V_NAME,CLASS,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3,MARGWORK_4,MARGWORK_5,MARG_CL_3_,MARG_CL_31,MARG_CL_32,MARG_AL_3_,MARG_AL_31,MARG_AL_32,MARG_HH_3_,MARG_HH_31,MARG_HH_32,MARG_OT_3_,MARG_OT_31,MARG_OT_32,MARGWORK_0,MARGWORK_1,MARGWORK_2,MARG_CL_0_,MARG_CL_01,MARG_CL_02,MARG_AL_0_,MARG_AL_01,MARG_AL_02,MARG_HH_0_,MARG_HH_01,MARG_HH_02,MARG_OT_0_,MARG_OT_01,MARG_OT_02,NON_WORK_P,NON_WORK_M,NON_WORK_F,Shape_Length,Shape_Area
2204,2205,21,ODISHA,383,DHENKANAL,2987,PARJANG P.S,3356,PARJANG,RURAL,PARJANGA,DHENKANAL,117416,CHANDPUR,402302,TULASIPASI,VILLAGE,103,344,190,154,37,23,14,169,98,71,0,0,0,267,159,108,77,31,46,166,121,45,20,15,5,1,0,1,0,0,0,0,0,0,19,15,4,146,106,40,18,18,0,60,34,26,0,0,0,68,54,14,143,103,40,18,18,0,58,32,26,0,0,0,67,53,14,3,3,0,0,0,0,2,2,0,0,0,0,1,1,0,178,69,109,0.139232914574214,0.0004764986754905
8691,8692,21,ODISHA,392,SUBARNAPUR,3139,SONAPUR P.S,3570,SONEPUR,RURAL,SONEPUR,BOLANGIR,121483,MALLIKMUNDA,419563,MALLIKMUNDA,VILLAGE,191,808,415,393,121,69,52,479,251,228,46,21,25,432,254,178,376,161,215,284,211,73,212,191,21,33,28,5,140,128,12,6,6,0,33,29,4,72,20,52,0,0,0,67,17,50,1,1,0,4,2,2,67,19,48,0,0,0,62,16,46,1,1,0,4,2,2,5,1,4,0,0,0,5,1,4,0,0,0,0,0,0,524,204,320,0.0602805108095222,0.0002051319116312
9117,9118,21,ODISHA,392,SUBARNAPUR,3139,SONAPUR P.S,3570,SONEPUR,RURAL,SONEPUR,BOLANGIR,121483,MALLIKMUNDA,419563,MALLIKMUNDA,VILLAGE,191,808,415,393,121,69,52,479,251,228,46,21,25,432,254,178,376,161,215,284,211,73,212,191,21,33,28,5,140,128,12,6,6,0,33,29,4,72,20,52,0,0,0,67,17,50,1,1,0,4,2,2,67,19,48,0,0,0,62,16,46,1,1,0,4,2,2,5,1,4,0,0,0,5,1,4,0,0,0,0,0,0,524,204,320,0.0503255752272096,0.000138332043103
14661,14662,21,ODISHA,379,KENDRAPARA,2923,RAJNAGAR P.S,3442,RAJNAGAR,RURAL,RAJNAGAR,KENDRAPARA,119236,DERA,395984,KAITHA,VILLAGE,196,971,499,472,135,71,64,372,201,171,0,0,0,744,397,347,227,102,125,293,276,17,77,74,3,42,42,0,19,19,0,8,6,2,8,7,1,216,202,14,6,5,1,196,193,3,1,1,0,13,3,10,206,192,14,5,4,1,187,184,3,1,1,0,13,3,10,10,10,0,1,1,0,9,9,0,0,0,0,0,0,0,678,223,455,0.0659174871294853,0.0001835216639647
15623,15624,21,ODISHA,379,KENDRAPARA,2923,RAJNAGAR P.S,3442,RAJNAGAR,RURAL,RAJNAGAR,KENDRAPARA,119236,DERA,395984,KAITHA,VILLAGE,196,971,499,472,135,71,64,372,201,171,0,0,0,744,397,347,227,102,125,293,276,17,77,74,3,42,42,0,19,19,0,8,6,2,8,7,1,216,202,14,6,5,1,196,193,3,1,1,0,13,3,10,206,192,14,5,4,1,187,184,3,1,1,0,13,3,10,10,10,0,1,1,0,9,9,0,0,0,0,0,0,0,678,223,455,0.0322797773856875,3.77591103997697e-05
21474,21475,21,ODISHA,377,BALESWAR,2899,CHANDIPUR P.S,3299,BALESWAR SADAR,RURAL,REMUNA(SC),BALASORE,116080,PADAMPUR,392853,PURASTAMPUR,VILLAGE,90,369,195,174,34,19,15,5,2,3,23,15,8,297,164,133,72,31,41,118,109,9,117,108,9,16,16,0,19,16,3,0,0,0,82,76,6,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,86,165,0.0139314808863549,1.35592435534697e-05
22176,22177,21,ODISHA,377,BALESWAR,2901,BAMPADA P.S,3670,REMUNA,RURAL,REMUNA(SC),BALASORE,116268,BIRUHAN,392548,SOMNATHAPUR,VILLAGE,191,815,431,384,69,40,29,0,0,0,0,0,0,653,362,291,162,69,93,234,221,13,228,215,13,52,52,0,123,121,2,5,2,3,48,40,8,6,6,0,0,0,0,5,5,0,1,1,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,581,210,371,0.0844106835551295,0.0003361226384968
22714,22715,21,ODISHA,377,BALESWAR,2897,BALESHWAR SADAR P.S,3299,BALESWAR SADAR,RURAL,REMUNA(SC),BALASORE,116080,PADAMPUR,392853,PURASTAMPUR,VILLAGE,90,369,195,174,34,19,15,5,2,3,23,15,8,297,164,133,72,31,41,118,109,9,117,108,9,16,16,0,19,16,3,0,0,0,82,76,6,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,86,165,0.0299438759495277,2.55714918947712e-05
24105,24106,21,ODISHA,377,BALESWAR,2895,BASTA P.S,3299,BALESWAR SADAR,RURAL,BALASORE,BALASORE,116071,HALADIPADA,392548,SOMNATHAPUR,VILLAGE,191,815,431,384,69,40,29,0,0,0,0,0,0,653,362,291,162,69,93,234,221,13,228,215,13,52,52,0,123,121,2,5,2,3,48,40,8,6,6,0,0,0,0,5,5,0,1,1,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,581,210,371,0.0241386695576338,2.62316431466288e-05
34286,34287,21,ODISHA,388,GANJAM,3097,NUAGAON P.S,3372,DIGAPAHANDI,UI,DIGAPAHANDI,BERHAMPUR,117740,KHAMARIGAM,412939,BADAPADAHILL,VILLAGE (UI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223362955785215,0.0007233210759113
36152,36153,21,ODISHA,388,GANJAM,3097,NUAGAON P.S,3372,DIGAPAHANDI,UI,DIGAPAHANDI,BERHAMPUR,117740,KHAMARIGAM,412939,BADAPADAHILL,VILLAGE (UI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254024967604605,2.93887979135786e-05
45533,45534,21,ODISHA,396,RAYAGADA,3180,DORAGUDA P.S,3552,KASIPUR,UI,RAYAGADA(ST),KORAPUT (ST),121176,DONGASIL,426158,KODITIKHALA,VILLAGE (UI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085485480246356,5.24151057184607e-06
46430,46431,21,ODISHA,396,RAYAGADA,3180,DORAGUDA P.S,3552,KASIPUR,RURAL,RAYAGADA(ST),KORAPUT (ST),121176,DONGASIL,426158,KODITIKHALA,VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372311141532307,7.51879599242356e-05
51307,51308,21,ODISHA,383,DHENKANAL,2991,GANDIA P.S,3351,GONDIA,RURAL,DHENKANAL,DHENKANAL,117298,MANDAR A,402302,TULASIPASI,VILLAGE,103,344,190,154,37,23,14,169,98,71,0,0,0,267,159,108,77,31,46,166,121,45,20,15,5,1,0,1,0,0,0,0,0,0,19,15,4,146,106,40,18,18,0,60,34,26,0,0,0,68,54,14,143,103,40,18,18,0,58,32,26,0,0,0,67,53,14,3,3,0,0,0,0,2,2,0,0,0,0,1,1,0,178,69,109,0.0562022326512088,0.0001388182329606
